Team;Number;"Player name";Position;Rating;"Minutes played";Goals;"Goals own";Assists;Offsides;Shots;Freekicks;Corners;"Throw in";Fouls;"Yellow cards";"Red cards";"Shots on target";"Blocked shots";"Shots off target";"Shots inside pa";"Shots outside pa";"Success Take-Ons";"Total Take-Ons";"Shot Conversion Rate";"Success Tackles";"Total Tackles";"Success Aerial duels";"Total Aerial duels";"Success Ground duels";"Total Ground duels";Interceptions;Recovery;Blocks;Mistakes;"Fouls won";"Success Passes";"Total Passes";"Pass accuracy";"Key passes";"Success Passes in final third";"Total Passes in final third";"Success Passes in middle third";"Total Passes in middle third";"Success Passes in defensive third";"Total Passes in defensive third";"Success Long passes";"Total Long passes";"Success Medium range passes";"Total Medium range passes";"Success Short passes";"Total Short passes";"Success Forward passes";"Total Forward passes";"Success Sideways passes";"Total Sideways passes";"Success Backward passes";"Total Backward passes";"Success Crosses";"Total Crosses";"Conceded goals";Catches;"Parries & Blocks";"Succesful goal kicks";"All goal kicks";"GK Interceptions Successful";"GK Interceptions Total"
"POLONIA WARSZAWA";9;"Marcel DZIEWA";CF;7.6;82;1;0;0;0;2;0;1;0;1;1;0;2;0;0;2;0;0;0;50%;0;1;4;8;0;1;0;4;2;1;1;13;21;62;1;6;12;6;8;1;1;0;1;4;7;9;13;2;6;6;8;5;7;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";2;"Filip GARCZYNSKI";RB;8.9;95;0;0;2;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0%;2;2;2;5;4;6;10;15;2;1;4;31;52;60;2;5;10;14;22;12;20;7;13;8;16;16;23;16;28;10;17;5;7;1;3;0;0;0;0;0;0;0
"POLONIA WARSZAWA";1;"Dawid JANKOWSKI";GK;6.1;96;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;1;6;0;0;2;19;32;59;0;0;0;0;0;19;32;6;17;5;7;8;8;11;24;8;8;0;0;0;0;1;0;0;0;2;2;2
"POLONIA WARSZAWA";4;"Milan JAWOR";CB;9.1;96;1;0;1;0;1;2;0;0;1;0;0;1;0;0;1;0;0;0;100%;1;2;7;8;1;3;4;15;1;0;0;31;46;67;1;0;0;11;20;20;26;2;7;12;18;17;21;10;24;15;16;6;6;0;0;0;0;0;6;6;0;0
"POLONIA WARSZAWA";8;"Bartosz JAWORSKI";CM;8.5;96;1;0;0;0;2;1;0;0;1;0;0;1;1;0;0;2;1;1;50%;7;10;3;3;9;13;4;15;0;0;2;22;39;56;0;0;4;14;23;8;12;0;4;9;13;13;22;9;21;7;11;6;7;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";5;"Daniel LESNIEWSKI";CB;6.6;96;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0%;1;2;1;3;1;2;2;7;1;0;0;23;27;85;0;1;1;7;8;15;18;3;5;10;10;10;11;12;15;10;10;1;1;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";3;"Bartosz PAWLAK";LB;6.9;96;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;2;0%;2;4;2;3;3;8;6;12;3;0;1;27;40;68;0;4;8;8;15;15;17;4;8;7;12;16;20;11;22;7;9;9;9;0;3;0;0;0;0;0;0;0
"POLONIA WARSZAWA";10;"Maciej SKROK";CAM;6.7;85;0;0;0;0;3;0;0;0;1;0;0;0;3;0;2;1;0;0;0%;4;8;0;2;4;8;2;13;1;1;3;16;31;52;0;2;8;13;20;1;3;2;5;6;11;8;15;7;17;6;11;3;3;0;2;0;0;0;0;0;0;0
"POLONIA WARSZAWA";19;"Jan TYSZKO";CM;7.6;96;0;0;0;0;1;7;4;0;1;0;0;1;0;0;0;1;0;0;0%;6;8;2;3;8;10;2;13;1;1;3;31;50;62;2;7;14;16;25;8;11;7;13;10;15;14;22;14;26;9;16;8;8;1;7;0;0;0;0;0;0;0
"POLONIA WARSZAWA";11;"Maksymilian USAREK";LW;8;96;1;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;3;3;100%;3;5;1;1;7;9;1;5;1;2;1;9;21;43;2;5;10;4;10;0;1;0;2;2;8;7;11;3;9;3;9;3;3;0;2;0;0;0;0;0;0;0
"POLONIA WARSZAWA";7;"Oliwier ZIEBA";RW;8.1;96;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0%;7;8;0;1;9;10;0;9;0;2;1;9;18;50;1;4;8;5;10;0;0;2;3;1;3;6;12;5;12;2;3;2;3;2;3;0;0;0;0;0;0;0
"POLONIA WARSZAWA";25;"Maksim BAHDANOVICH";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";13;"Franciszek BANAS";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";6;"Victor CIEMPIEL";CM;6.3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;1;1;1;1;1;1;0;1;0;0;0;9;9;100;0;0;0;4;4;5;5;1;1;3;3;5;5;2;2;5;5;2;2;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";14;"Filip PIETRZAK";LW;6;14;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;1;0;0;0;1;0;1;0;1;0;1;2;50;1;1;2;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";15;"Michal STYCZEN";CM;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
