Category;Statistic;"POLONIA WARSZAWA";"WISLA KRAKOW"
Summary;Goals;0;2
Summary;Possessions;36%;64%
Summary;"Shots in total";5;8
Summary;Fouls;7;9
Summary;Offsides;0;1
Summary;"Free kicks";9;6
Summary;Corners;2;5
Summary;"Average player game rating";7.11;7.96
Offensive;"Shots in total";5;8
Offensive;"Shots on target";2;4
Offensive;"Shots off target";2;3
Offensive;"Shots blocked";1;1
Offensive;"Shots inside PA";2;4
Offensive;"Shots outside PA";3;4
Offensive;"Successful take ons";2;1
Offensive;"All take ons";6;4
Offensive;"Shot Conversion Rate";0%;25%
Defensive;"Successful tackles";16;8
Defensive;"All tackles";30;17
Defensive;"Aerial duels";23;23
Defensive;Interceptions;20;14
Defensive;Clearances;16;5
Defensive;Recoveries;47;62
Defensive;Blocks;5;3
Defensive;Mistakes;11;5
Defensive;"Won fouls";9;7
Defensive;"Second Ball Won";36%;64%
Distribution;"Successful passes";72;245
Distribution;Passes;139;320
Distribution;"Pass accuracy";52%;77%
Distribution;"Key passes";4;4
Distribution;"Successful passes in final third";15;43
Distribution;"All passes in final third";28;74
Distribution;"Successful passes in middle third";19;134
Distribution;"All passes in middle third";45;162
Distribution;"Successful passes in defensive third";38;68
Distribution;"All passes in defensive third";66;84
Distribution;"Successful long passes";11;17
Distribution;"All long passes";36;40
Distribution;"Successful medium range passes";31;125
Distribution;"All medium range passes";55;152
Distribution;"Successful short passes";30;103
Distribution;"All short passes";48;128
Distribution;"Successful forward passes";28;74
Distribution;"All forward passes";81;128
Distribution;"Successful sideways passes";24;113
Distribution;"All sideways passes";34;127
Distribution;"Successful backward passes";20;58
Distribution;"All backward passes";24;65
Distribution;"Successful crosses";0;2
Distribution;"All crosses";7;15
Distribution;"Field Tilt";27%;73%
