Category;Statistic;"HUTNIK KRAKOW";"POLONIA WARSZAWA"
Summary;Goals;1;1
Summary;Possessions;46%;54%
Summary;"Shots in total";8;4
Summary;Fouls;5;4
Summary;Offsides;0;2
Summary;"Free kicks";6;5
Summary;Corners;6;5
Summary;"Average player game rating";6.68;6.6
Offensive;"Shots in total";8;4
Offensive;"Shots on target";5;3
Offensive;"Shots off target";2;0
Offensive;"Shots blocked";1;1
Offensive;"Shots inside PA";5;2
Offensive;"Shots outside PA";3;2
Offensive;"Successful take ons";3;2
Offensive;"All take ons";5;4
Offensive;"Shot Conversion Rate";13%;25%
Defensive;"Successful tackles";8;4
Defensive;"All tackles";10;7
Defensive;"Aerial duels";19;19
Defensive;Interceptions;26;33
Defensive;Clearances;26;26
Defensive;Recoveries;29;31
Defensive;Blocks;1;1
Defensive;Mistakes;0;0
Defensive;"Won fouls";4;3
Defensive;"Second Ball Won";37%;63%
Distribution;"Successful passes";156;188
Distribution;Passes;201;238
Distribution;"Pass accuracy";78%;79%
Distribution;"Key passes";6;2
Distribution;"Successful passes in final third";42;26
Distribution;"All passes in final third";59;39
Distribution;"Successful passes in middle third";68;99
Distribution;"All passes in middle third";80;117
Distribution;"Successful passes in defensive third";46;63
Distribution;"All passes in defensive third";62;82
Distribution;"Successful long passes";13;16
Distribution;"All long passes";33;46
Distribution;"Successful medium range passes";68;93
Distribution;"All medium range passes";83;102
Distribution;"Successful short passes";75;79
Distribution;"All short passes";85;90
Distribution;"Successful forward passes";50;58
Distribution;"All forward passes";77;102
Distribution;"Successful sideways passes";72;74
Distribution;"All sideways passes";87;78
Distribution;"Successful backward passes";34;56
Distribution;"All backward passes";37;58
Distribution;"Successful crosses";3;4
Distribution;"All crosses";9;7
Distribution;"Field Tilt";60%;40%
