Category;Statistic;"POLONIA WARSZAWA";"FCB ESCOLA VARSOVIA"
Summary;Goals;1;0
Summary;Possessions;50%;50%
Summary;"Shots in total";10;3
Summary;Fouls;7;11
Summary;Offsides;0;1
Summary;"Free kicks";11;7
Summary;Corners;2;2
Summary;"Average player game rating";6.68;7.33
Offensive;"Shots in total";10;3
Offensive;"Shots on target";3;1
Offensive;"Shots off target";3;1
Offensive;"Shots blocked";4;1
Offensive;"Shots inside PA";6;3
Offensive;"Shots outside PA";4;0
Offensive;"Successful take ons";5;1
Offensive;"All take ons";13;4
Offensive;"Shot Conversion Rate";10%;0%
Defensive;"Successful tackles";13;15
Defensive;"All tackles";18;24
Defensive;"Aerial duels";10;10
Defensive;Interceptions;10;7
Defensive;Clearances;11;16
Defensive;Recoveries;56;55
Defensive;Blocks;6;12
Defensive;Mistakes;12;13
Defensive;"Won fouls";11;7
Defensive;"Second Ball Won";50%;50%
Distribution;"Successful passes";151;147
Distribution;Passes;211;210
Distribution;"Pass accuracy";72%;70%
Distribution;"Key passes";6;3
Distribution;"Successful passes in final third";30;31
Distribution;"All passes in final third";54;48
Distribution;"Successful passes in middle third";73;72
Distribution;"All passes in middle third";93;97
Distribution;"Successful passes in defensive third";48;44
Distribution;"All passes in defensive third";64;65
Distribution;"Successful long passes";16;5
Distribution;"All long passes";36;24
Distribution;"Successful medium range passes";53;62
Distribution;"All medium range passes";67;81
Distribution;"Successful short passes";82;80
Distribution;"All short passes";108;105
Distribution;"Successful forward passes";52;56
Distribution;"All forward passes";98;97
Distribution;"Successful sideways passes";62;67
Distribution;"All sideways passes";74;87
Distribution;"Successful backward passes";37;24
Distribution;"All backward passes";39;26
Distribution;"Successful crosses";1;1
Distribution;"All crosses";5;8
Distribution;"Field Tilt";53%;47%
