Category;Statistic;"POLONIA WARSZAWA";"HUTNIK KRAKOW"
Summary;Goals;1;0
Summary;Possessions;57%;43%
Summary;"Shots in total";9;4
Summary;Fouls;4;6
Summary;Offsides;5;0
Summary;"Free kicks";6;9
Summary;Corners;3;0
Summary;"Average player game rating";6.91;7.09
Offensive;"Shots in total";9;4
Offensive;"Shots on target";4;3
Offensive;"Shots off target";3;0
Offensive;"Shots blocked";2;1
Offensive;"Shots inside PA";2;3
Offensive;"Shots outside PA";7;1
Offensive;"Successful take ons";13;1
Offensive;"All take ons";16;4
Offensive;"Shot Conversion Rate";11%;0%
Defensive;"Successful tackles";13;10
Defensive;"All tackles";17;18
Defensive;"Aerial duels";9;9
Defensive;Interceptions;2;9
Defensive;Clearances;2;7
Defensive;Recoveries;62;41
Defensive;Blocks;8;9
Defensive;Mistakes;3;1
Defensive;"Won fouls";6;4
Defensive;"Second Ball Won";14%;86%
Distribution;"Successful passes";197;129
Distribution;Passes;257;183
Distribution;"Pass accuracy";77%;70%
Distribution;"Key passes";6;3
Distribution;"Successful passes in final third";40;12
Distribution;"All passes in final third";66;19
Distribution;"Successful passes in middle third";87;53
Distribution;"All passes in middle third";112;73
Distribution;"Successful passes in defensive third";70;64
Distribution;"All passes in defensive third";79;91
Distribution;"Successful long passes";19;9
Distribution;"All long passes";34;21
Distribution;"Successful medium range passes";83;57
Distribution;"All medium range passes";102;69
Distribution;"Successful short passes";95;63
Distribution;"All short passes";121;93
Distribution;"Successful forward passes";62;60
Distribution;"All forward passes";102;101
Distribution;"Successful sideways passes";85;45
Distribution;"All sideways passes";103;53
Distribution;"Successful backward passes";50;24
Distribution;"All backward passes";52;29
Distribution;"Successful crosses";1;3
Distribution;"All crosses";11;6
Distribution;"Field Tilt";78%;22%
