Category;Statistic;"POLONIA WARSZAWA";"LEGIA WARSZAWA"
Summary;Goals;0;2
Summary;Possessions;44%;56%
Summary;"Shots in total";5;14
Summary;Fouls;5;5
Summary;Offsides;1;3
Summary;"Free kicks";8;6
Summary;Corners;3;4
Summary;"Average player game rating";6.76;7.06
Offensive;"Shots in total";5;14
Offensive;"Shots on target";2;9
Offensive;"Shots off target";2;3
Offensive;"Shots blocked";1;2
Offensive;"Shots inside PA";2;8
Offensive;"Shots outside PA";3;6
Offensive;"Successful take ons";6;11
Offensive;"All take ons";13;17
Offensive;"Shot Conversion Rate";0%;14%
Defensive;"Successful tackles";23;17
Defensive;"All tackles";46;30
Defensive;"Aerial duels";22;22
Defensive;Interceptions;20;17
Defensive;Clearances;25;12
Defensive;Recoveries;46;51
Defensive;Blocks;3;6
Defensive;Mistakes;5;2
Defensive;"Won fouls";5;5
Defensive;"Second Ball Won";75%;25%
Distribution;"Successful passes";146;241
Distribution;Passes;197;288
Distribution;"Pass accuracy";74%;84%
Distribution;"Key passes";4;12
Distribution;"Successful passes in final third";30;78
Distribution;"All passes in final third";49;97
Distribution;"Successful passes in middle third";57;111
Distribution;"All passes in middle third";73;122
Distribution;"Successful passes in defensive third";59;52
Distribution;"All passes in defensive third";75;69
Distribution;"Successful long passes";19;16
Distribution;"All long passes";35;38
Distribution;"Successful medium range passes";45;99
Distribution;"All medium range passes";63;111
Distribution;"Successful short passes";82;125
Distribution;"All short passes";99;138
Distribution;"Successful forward passes";58;93
Distribution;"All forward passes";97;124
Distribution;"Successful sideways passes";57;91
Distribution;"All sideways passes";67;104
Distribution;"Successful backward passes";31;56
Distribution;"All backward passes";33;59
Distribution;"Successful crosses";2;2
Distribution;"All crosses";10;17
Distribution;"Field Tilt";34%;66%
